Title,Summary,Published Date
Deliverect raises $150M at a $1.4B+ valuation to streamline online and offline food orders,"As we have started to see the light at the end of the Covid-19 tunnel, food delivery has shaped up to continue to be a major business. In England, for example, some 76% of people order at least one takeaway a week, whereas it was 60% pre-pandemic. Now, a startup called Deliverect that has built a [&#8230;]","Mon, 24 Jan 2022 18:20:35 +0000"
NBCUniversal is partnering with TikTok for the Winter Olympics,"With the Winter Games in Beijing on the horizon, NBCUniversal will team up with TikTok for an advertising partnership to promote the network&#8217;s coverage of the Olympics. NBCUniversal told TechCrunch that its advertising partners will be the first brands to pilot a new, creative ad experience on TikTok. TikTok and NBCUniversal did not elaborate on [&#8230;]","Mon, 24 Jan 2022 18:03:55 +0000"
Google’s Privacy Sandbox targeted by fresh EU antitrust complaint,"German publishers are the latest to band together to try to derail or at least delay Google&#8217;s &#8220;Privacy Sandbox&#8221; plan to end support for tracking cookies in Chrome via a complaint to the European Commission. The Financial Times reports that hundreds of German publishers, advertisers and media and industry groups &#8212; including local powerhouse Axel [&#8230;]","Mon, 24 Jan 2022 17:44:10 +0000"
Flaws in third-party software exposed dozens of Teslas to remote access,"A security researcher said he was able to remotely access dozens of Teslas around the world because security bugs found in an open-source logging tool popular with Tesla owners exposed their cars directly to the internet. News of the vulnerability was first revealed earlier this month in a tweet by David Colombo, a security researcher [&#8230;]","Mon, 24 Jan 2022 17:38:06 +0000"
Panasonic’s higher-capacity Tesla battery could enter production in 2023,Panasonic could start mass producing larger-capacity batteries for Tesla as soon as next year. The 4680 cell is said to boost the range of electric vehicles by over 15 percent.,"Mon, 24 Jan 2022 17:37:51 +0000"
Meta leaps into the supercomputer game with its AI Research SuperCluster,"There&#8217;s a global competition to build the biggest, most powerful computers on the planet, and Meta (AKA Facebook) is about to jump into the melee with the &#8220;AI Research SuperCluster,&#8221; or RSC. Once fully operational it may well sit in the top ten fastest supercomputers in the world, which it will use for the massive [&#8230;]","Mon, 24 Jan 2022 17:32:13 +0000"
How one founder set out to solve meetings once and for all,"We’re talking to serial founder Julian Green, whose most recent startup, Headroom, is using AI to hack human conversation — starting with meetings. Julian’s goal is to make meetings and virtual communication feel closer to talking in the real world. Come to hear a very smart founder talk about his experience, stay for Jordan pitching [&#8230;]","Mon, 24 Jan 2022 17:14:14 +0000"
Klarity lands $18M to read scores of documents so you don’t have to,"Klarity replaces humans for tasks that require large-scale document review, including accounting order forms, purchase orders and agreements.","Mon, 24 Jan 2022 16:45:57 +0000"
"Investor calls for Peloton to fire CEO, consider selling company","Peloton ended 2020 on top. Its own supply chain issues had presented a hurdle &#8212; but if anything, these were side effects of the company’s own stratospheric successes. It simply couldn’t keep up with demand, one of the better problems to have as a business on the rise. Always leave them wanting more, as P.T. [&#8230;]","Mon, 24 Jan 2022 16:45:50 +0000"
Tekever raises $23M for industrial drone technology optimized for maritime surveillance,"Industrial drones &#8212; the enterprise complement to the unmanned aerial vehicles that consumers own for leisurely use &#8212; are taking off in the market, fueled by a new wave of software and hardware technology that improves their battery life, reach and performance, and a growing number of organizations investing in these services to raise their [&#8230;]","Mon, 24 Jan 2022 16:14:18 +0000"
"Soona, a virtual photo shoot platform for e-commerce, raises $35 million Series B","Alongside the dramatic growth in e-commerce, in part fueled by the pandemic, there&#8217;s also increased demand for services that can help merchants more easily participate online. A startup called Soona, now backed by an additional $35 million in Series B funding, has been tapping into this market with its platform that allows brands to create [&#8230;]","Mon, 24 Jan 2022 16:04:57 +0000"
Will the latest selloff finally shake up how investors value startups?,Quite a number of earlier-stage deals are going to get done at prices that might not make sense in a few months.,"Mon, 24 Jan 2022 16:04:37 +0000"
Anyplace raises $5.3M to provide a home (office) away from home,"In this era of remote work, people want as much flexibility as possible to live where they want, when they want. It’s no surprise that we’ve seen a flurry of startups emerge to give people more options for long-term stays. Anyplace is one such startup. A self-described “digital nomad,” Satoru Steve Naito says he co-founded [&#8230;]","Mon, 24 Jan 2022 16:00:57 +0000"
Pandemic prompts launch of new $75M US telemedicine fund from Swiftarc Ventures,"New York-based venture fund Swiftarc Ventures is launching a new fund dubbed Swiftarc Telehealth to take advantage of the boom in Telehealth-focused startups which have emerged, partly in the wake of the COVID-19 pandemic. The $75 million fund will focus on three initial areas: obesity, mental &#38; behavioral health, and pediatrics. It will also look [&#8230;]","Mon, 24 Jan 2022 16:00:56 +0000"
Fathom raises $4.7M for its AI notetaker,"Fathom, a startup that is building an AI notetaker for Zoom, today announced that it has raised a $4.7 million seed round from a range of early-stage investors, including Zoom&#8217;s own Apps Fund. Other investors include the likes of early Zoom investors Maven Ventures, Bill Tai and Matt Ocko, early-stage funds Character.vc, Active Capital, Global [&#8230;]","Mon, 24 Jan 2022 16:00:41 +0000"
Rethinking the longevity of cryptocurrency’s pay-for-processing model,Perhaps it’s time that transacting in crypto becomes beneficial to users by using utility-value-based pricing.,"Mon, 24 Jan 2022 15:57:22 +0000"
Apple fined $5.6M after Dutch dating app antitrust order,The Netherlands&#8217; competition authority has fined Apple €5 million (~$5.6 million) for failing to comply with conditions in an order requiring it to allow local dating apps to make user of third-party payment technology in their apps. The tech giant could be on the hook for another €5 million fine next week if it doesn&#8217;t [&#8230;],"Mon, 24 Jan 2022 15:48:10 +0000"
Is the party over?,"Hello and welcome back to Equity, a podcast about the business of startups, where we unpack the numbers and nuance behind the headlines. If you own stuff, I am sorry to report that you are probably poorer today than you were on Friday, and even less wealthy than you were the Friday before. Things are selling [&#8230;]","Mon, 24 Jan 2022 15:24:30 +0000"
Gorillas to acquire Frichti in latest instant grocery consolidation,"German startup Gorillas has announced that it plans to acquire Frichti, a French startup that delivers both ready-to-eat meals and groceries. The acquisition hasn’t closed just yet but both companies have entered exclusive discussions. &#8220;We don&#8217;t share details about the deal itself, especially as it isn&#8217;t completely signed,&#8221; Frichti co-founder and co-CEO Julia Bijaoui told [&#8230;]","Mon, 24 Jan 2022 15:23:06 +0000"
Sayata adds $35M to Series A for business insurance,Sayata developed a fully automated way for brokers to provide several insurance quotes from leading providers based on a few pieces of information about the business.,"Mon, 24 Jan 2022 14:00:47 +0000"
